,날짜,1회공급량,공급ec,공급ph,CO2,습도,광량,내부온도,상부온도
123,2022-01-09,,2.9,6.1,427.6519790888723,86.50721150112024,35.85426538013443,13.67808215085885,13.33163861090366
124,2022-01-09,,2.9,6.1,427.6519790888723,86.50721150112024,35.85426538013443,13.67808215085885,13.33163861090366
125,2022-01-08,,2.9,6.0,423.20416666666665,85.79849472222222,32.39585591944444,14.020756458333333,13.672089097222223
126,2022-01-08,93.75,2.9,5.8,423.20416666666665,85.79849472222222,32.39585591944444,14.020756458333333,13.672089097222223
127,2022-01-08,,2.9,6.0,423.20416666666665,85.79849472222222,32.39585591944444,14.020756458333333,13.672089097222223
128,2022-01-08,,2.9,6.0,423.20416666666665,85.79849472222222,32.39585591944444,14.020756458333333,13.672089097222223
129,2022-01-10,91.42857142857143,2.9,6.0,428.2646239554318,85.81699568245125,30.240067598189416,13.70393447075209,13.364233217270195
130,2022-01-10,97.14285714285714,2.9,6.05,428.2646239554318,85.81699568245125,30.240067598189416,13.70393447075209,13.364233217270195
131,2022-01-10,97.14285714285714,2.9,6.05,428.2646239554318,85.81699568245125,30.240067598189416,13.70393447075209,13.364233217270195
132,2022-01-11,90.0,2.9,5.9,399.6917748917749,84.84301203463204,32.56558631428572,12.652038008658009,12.283102692640693
133,2022-01-11,120.71428571428571,2.9,6.1,399.6917748917749,84.84301203463204,32.56558631428572,12.652038008658009,12.283102692640693
134,2022-01-11,120.71428571428571,2.9,6.1,399.6917748917749,84.84301203463204,32.56558631428572,12.652038008658009,12.283102692640693
135,2022-01-12,102.22222222222223,2.9,5.8,394.3375,81.19969785714287,22.743640259821426,13.309815535714286,12.926312589285715
136,2022-01-12,105.55555555555556,2.9,6.35,394.3375,81.19969785714287,22.743640259821426,13.309815535714286,12.926312589285715
137,2022-01-12,105.55555555555556,2.9,6.35,394.3375,81.19969785714287,22.743640259821426,13.309815535714286,12.926312589285715
138,2022-01-13,88.33333333333333,2.9,5.7,390.8419540229885,82.70207808908046,49.6389269375,13.424620043103449,13.126891364942528
139,2022-01-13,75.83333333333333,2.8,6.35,390.8419540229885,82.70207808908046,49.6389269375,13.424620043103449,13.126891364942528
140,2022-01-13,75.83333333333333,2.8,6.35,390.8419540229885,82.70207808908046,49.6389269375,13.424620043103449,13.126891364942528
141,2022-01-14,91.11111111111111,2.75,6.05,405.11033519553075,79.70214846368715,56.55084400768157,14.79514783519553,14.490472213687152
142,2022-01-14,92.22222222222223,2.7,6.4,405.11033519553075,79.70214846368715,56.55084400768157,14.79514783519553,14.490472213687152
143,2022-01-14,92.22222222222223,2.7,6.4,405.11033519553075,79.70214846368715,56.55084400768157,14.79514783519553,14.490472213687152
144,2022-01-15,92.22222222222223,2.7,5.7,411.325208913649,89.49972311977716,28.09218541225627,12.65299352367688,12.15658917827298
145,2022-01-15,94.44444444444444,2.7,6.2,411.325208913649,89.49972311977716,28.09218541225627,12.65299352367688,12.15658917827298
146,2022-01-15,94.44444444444444,2.7,6.2,411.325208913649,89.49972311977716,28.09218541225627,12.65299352367688,12.15658917827298
147,2022-01-16,92.85714285714286,2.7,5.7,406.0861111111111,87.06898118055555,65.84156710208333,14.074619861111112,13.760041000000001
148,2022-01-16,92.85714285714286,2.7,6.2,406.0861111111111,87.06898118055555,65.84156710208333,14.074619861111112,13.760041000000001
149,2022-01-16,92.85714285714286,2.7,6.2,406.0861111111111,87.06898118055555,65.84156710208333,14.074619861111112,13.760041000000001
150,2022-01-17,96.0,2.7,6.3,408.96180555555554,83.18507423611112,43.33364376805556,14.034214583333334,13.718965208333334
151,2022-01-17,96.0,2.7,6.3,408.96180555555554,83.18507423611112,43.33364376805556,14.034214583333334,13.718965208333334
152,2022-01-18,93.88888888888889,2.7,6.15,412.56636553161917,80.13100319666435,68.47145070257123,14.925521056289089,14.592916900625433
153,2022-01-18,93.88888888888889,2.7,6.15,412.56636553161917,80.13100319666435,68.47145070257123,14.925521056289089,14.592916900625433
154,2022-01-19,92.85714285714286,2.75,6.3,428.3485593815882,84.50803682361209,0.3131271293042867,12.478908995080815,12.042482501756853
155,2022-01-19,92.85714285714286,2.75,6.3,428.3485593815882,84.50803682361209,0.3131271293042867,12.478908995080815,12.042482501756853
156,2022-01-20,91.11111111111111,2.7,6.2,420.1431549687283,85.3684678248784,65.98543594440584,14.903376719944406,14.502536629603892
157,2022-01-20,91.11111111111111,2.7,6.2,420.1431549687283,85.3684678248784,65.98543594440584,14.903376719944406,14.502536629603892
158,2022-01-21,90.55555555555556,2.7,6.2,425.3165969316597,99.77028640167364,63.359046586471415,15.25017259414226,14.622476248256625
159,2022-01-21,90.55555555555556,2.7,6.2,425.3165969316597,99.77028640167364,63.359046586471415,15.25017259414226,14.622476248256625
160,2022-01-22,100.0,2.6,6.3,424.6223922114047,99.78236300417247,32.23785662447844,14.097322531293463,13.56760614742698
161,2022-01-22,100.0,2.6,6.3,424.6223922114047,99.78236300417247,32.23785662447844,14.097322531293463,13.56760614742698
162,2022-01-23,102.0,2.6,6.3,430.51423641069886,99.69285340811044,27.91999395685936,13.657865746333044,13.050850647109577
163,2022-01-23,102.0,2.6,6.3,430.51423641069886,99.69285340811044,27.91999395685936,13.657865746333044,13.050850647109577
164,2022-01-24,92.5,2.7,6.0,417.7755417956656,99.82804241486068,27.427891229102165,14.77878560371517,14.249841563467493
165,2022-01-25,100.0,2.6,6.1,423.29795299469293,99.67605746777862,0.02300265959059894,11.98758453373768,11.378347384382108
166,2022-01-26,98.125,2.6,6.3,431.38958333333335,99.66414340277778,30.939672460416663,14.451725694444445,13.872388333333333
167,2022-01-27,97.0,2.6,6.15,420.18832522585126,99.75669471855456,43.07935510632384,15.484270187630297,14.92972656706046
168,2022-01-28,95.5,2.6,6.0,409.5309242529534,99.80900736622654,44.94417116539263,14.932794794996527,14.379703578874217
169,2022-01-29,95.5,2.7,6.1,387.6009783368274,99.81487316561845,43.76941840740741,12.853692306079664,12.316693801537387
170,2022-01-30,94.54545454545455,2.6,6.25,388.202364394993,99.81961634214186,61.215831198191935,13.150984819193324,12.571771842837276
171,2022-01-31,94.0909090909091,2.6500000000000004,6.15,390.6048611111111,99.87004729166667,44.05929359097222,13.858989715277776,13.356476506944444
172,2022-02-01,95.0,2.6,6.0,,,,,
173,2022-02-02,98.88888888888889,2.6,6.0,,,,,
174,2022-02-03,95.0,2.6,6.35,,,,,
175,2022-02-04,93.88888888888889,2.6,6.199999999999999,,,,,
176,2022-02-05,94.44444444444444,2.6,6.199999999999999,,,,,
177,2022-02-06,95.0,2.6500000000000004,6.2,,,,,
178,2021-09-24,95.58823529411765,2.8499999999999996,6.45,,,,,
179,2021-09-25,98.0,2.8499999999999996,6.35,,,,,
180,2021-09-26,95.29411764705883,2.8499999999999996,6.3,,,,,
181,2021-09-27,94.47368421052632,2.8499999999999996,6.3,,,,,
182,2021-09-28,93.63636363636364,2.8499999999999996,6.3,,,,,
183,2021-09-29,96.66666666666667,2.8,6.5,,,,,
184,2021-09-30,95.0,2.8,6.4,,,,,
185,2021-10-01,96.42857142857143,2.6500000000000004,6.1,,,,,
186,2021-10-02,94.21052631578948,2.5,6.5,,,,,
187,2021-10-03,96.5,2.5,6.3,,,,,
