,farm_id,number,date,numberOfFruitPerPlant,numberOfFruitPerTruss,fruitingNode
599,tom1,051,20211001,1,5,5
600,tom1,051,20211001,1,8,8
601,tom1,051,20211001,1,8,8
602,tom1,052,20211001,1,3,3
603,tom1,052,20211001,1,4,4
604,tom1,052,20211001,1,4,4
605,tom1,052,20211001,1,5,5
606,tom1,052,20211001,1,7,7
607,tom1,053,20211001,1,4,4
608,tom1,053,20211001,1,4,4
609,tom1,053,20211001,1,6,6
610,tom1,053,20211001,1,6,6
611,tom1,053,20211001,1,7,7
612,tom1,053,20211001,1,7,7
613,tom1,053,20211001,1,8,8
614,tom1,053,20211001,1,8,8
615,tom1,054,20211001,1,4,4
616,tom1,054,20211001,1,5,5
617,tom1,054,20211001,1,6,6
618,tom1,054,20211001,1,7,7
619,tom1,055,20211001,1,5,5
620,tom1,055,20211001,1,6,6
621,tom1,055,20211001,1,6,6
622,tom1,055,20211001,1,7,7
623,tom1,055,20211001,1,8,8
624,tom1,056,20211001,1,3,3
625,tom1,056,20211001,1,4,4
626,tom1,056,20211001,1,4,4
627,tom1,056,20211001,1,5,5
628,tom1,057,20211001,1,3,3
629,tom1,057,20211001,1,4,4
630,tom1,057,20211001,1,4,4
631,tom1,057,20211001,1,4,4
632,tom1,057,20211001,1,5,5
633,tom1,057,20211001,1,6,6
634,tom1,057,20211001,1,7,7
635,tom1,057,20211001,1,7,7
636,tom1,058,20211001,1,3,3
637,tom1,058,20211001,1,4,4
638,tom1,058,20211001,1,4,4
639,tom1,058,20211001,1,8,8
640,tom1,059,20211001,1,4,4
641,tom1,059,20211001,1,4,4
642,tom1,059,20211001,1,7,7
643,tom1,059,20211001,1,8,8
644,tom1,059,20211001,1,8,8
645,tom1,059,20211001,1,8,8
646,tom1,060,20211001,1,4,4
647,tom1,060,20211001,1,6,6
648,tom1,060,20211001,1,8,8
649,tom1,060,20211001,1,8,8
650,tom1,061,20211002,1,5,5
651,tom1,061,20211002,1,8,8
652,tom1,061,20211002,1,8,8
653,tom1,061,20211002,1,8,8
654,tom1,062,20211002,1,5,5
655,tom1,062,20211002,1,6,6
656,tom1,062,20211002,1,7,7
657,tom1,062,20211002,1,7,7
658,tom1,062,20211002,1,8,8
659,tom1,063,20211002,1,5,5
660,tom1,063,20211002,1,7,7
661,tom1,064,20211002,1,5,5
662,tom1,064,20211002,1,5,5
663,tom1,064,20211002,1,7,7
664,tom1,064,20211002,1,8,8
665,tom1,065,20211002,1,7,7
666,tom1,065,20211002,1,7,7
667,tom1,065,20211002,1,8,8
668,tom1,065,20211002,1,8,8
669,tom1,065,20211002,1,8,8
670,tom1,066,20211002,1,5,5
671,tom1,066,20211002,1,7,7
672,tom1,066,20211002,1,7,7
673,tom1,067,20211002,1,5,5
674,tom1,067,20211002,1,7,7
675,tom1,067,20211002,1,7,7
676,tom1,067,20211002,0,8,8
677,tom1,068,20211002,1,5,5
678,tom1,068,20211002,1,6,6
679,tom1,068,20211002,1,7,7
680,tom1,068,20211002,1,7,7
681,tom1,068,20211002,1,8,8
682,tom1,068,20211002,1,8,8
683,tom1,069,20211002,1,5,5
684,tom1,069,20211002,1,5,5
685,tom1,069,20211002,1,6,6
686,tom1,070,20211002,1,5,5
687,tom1,070,20211002,1,6,6
688,tom1,070,20211002,1,7,7
689,tom1,070,20211002,1,8,8
690,tom1,071,20211002,1,5,5
691,tom1,071,20211002,1,5,5
692,tom1,071,20211002,1,6,6
693,tom1,071,20211002,1,7,7
694,tom1,071,20211002,1,7,7
695,tom1,071,20211002,1,8,8
696,tom1,071,20211002,1,8,8
697,tom1,072,20211002,1,5,5
698,tom1,072,20211002,1,5,5
699,tom1,072,20211002,1,8,8
700,tom1,073,20211002,1,5,5
701,tom1,073,20211002,1,5,5
702,tom1,073,20211002,1,6,6
703,tom1,073,20211002,1,7,7
704,tom1,073,20211002,1,8,8
705,tom1,073,20211002,1,9,9
706,tom1,074,20211002,1,5,5
707,tom1,074,20211002,1,6,6
708,tom1,074,20211002,1,6,6
709,tom1,074,20211002,1,7,7
710,tom1,074,20211002,1,7,7
711,tom1,074,20211002,1,8,8
712,tom1,075,20211002,1,5,5
713,tom1,075,20211002,1,5,5
714,tom1,075,20211002,1,6,6
715,tom1,075,20211002,1,7,7
716,tom1,075,20211002,1,7,7
717,tom1,075,20211002,1,8,8
718,tom1,075,20211002,1,8,8
719,tom1,075,20211002,1,8,8
720,tom1,076,20211002,1,5,5
721,tom1,076,20211002,1,5,5
722,tom1,076,20211002,1,6,6
723,tom1,076,20211002,1,8,8
724,tom1,076,20211002,1,8,8
725,tom1,076,20211002,1,8,8
726,tom1,077,20211002,1,5,5
727,tom1,077,20211002,1,5,5
728,tom1,077,20211002,1,8,8
729,tom1,077,20211002,1,8,8
730,tom1,078,20211002,1,5,5
731,tom1,078,20211002,1,5,5
732,tom1,078,20211002,1,7,7
733,tom1,078,20211002,1,7,7
734,tom1,078,20211002,1,7,7
735,tom1,079,20211002,1,5,5
736,tom1,079,20211002,1,7,7
737,tom1,079,20211002,1,7,7
738,tom1,079,20211002,1,7,7
739,tom1,080,20211002,1,5,5
740,tom1,080,20211002,1,5,5
741,tom1,080,20211002,1,8,8
742,tom1,081,20211002,1,5,5
743,tom1,081,20211002,1,6,6
744,tom1,081,20211002,1,8,8
745,tom1,082,20211002,1,5,5
746,tom1,082,20211002,1,5,5
747,tom1,082,20211002,1,6,6
748,tom1,082,20211002,1,7,7
749,tom1,082,20211002,1,7,7
750,tom1,082,20211002,1,8,8
751,tom1,083,20211002,1,7,7
752,tom1,083,20211002,1,7,7
753,tom1,083,20211002,1,8,8
754,tom1,083,20211002,1,8,8
755,tom1,084,20211002,1,6,6
756,tom1,084,20211002,1,7,7
757,tom1,084,20211002,1,7,7
758,tom1,084,20211002,1,8,8
759,tom1,085,20211002,1,5,5
760,tom1,085,20211002,1,8,8
761,tom1,086,20211002,1,5,5
762,tom1,086,20211002,1,5,5
763,tom1,086,20211002,1,6,6
764,tom1,086,20211002,1,7,7
